industry,factory_size,production,electricity_kwh,natural_gas_scm,diesel_litre,raw_material_kg,waste_kg,electricity_emissions,gas_emissions,diesel_emissions,waste_emissions,total_emissions,emission_intensity,energy_intensity,waste_ratio,top_hotspot,second_hotspot,budget,reduction_target,recommended_intervention,renewable_potential,compliance_score,electricity_score,gas_score,diesel_score,waste_score,emission_score,emissions_per_unit,energy_efficiency_score,recommendation_priority,intervention_impact,potential_reduction_tonnes,roi_score
Steel,Medium,116156,270947,39315,3989,151242,7045,196.98,77.06,10.69,9.09,293.82,2.53,5.89,4.66,Electricity,Natural Gas,181082,15,LED Lighting,Medium,75.4,10.195459511958235,10.424451918286,10.414827890556046,7.183278568820738,38.22,2.53,59.27,Low,0.08,23.51,0.1298
Leather,Large,212516,260974,47205,4319,130145,14635,189.73,92.52,11.57,18.88,312.7,1.47,3.55,11.25,Electricity,Natural Gas,553244,15,Compressed Air Optimization,Medium,74.9,9.755372101493261,12.831651718983556,11.385701676963814,16.119021540708285,50.09,1.471,82.13,Medium,0.12,37.52,0.0678
Food Processing,Large,277077,362357,38053,3410,128685,7487,263.43,74.58,9.14,9.66,356.81,1.29,2.74,5.82,Electricity,Natural Gas,379635,25,Power Factor Correction,Medium,65.3,14.229088260288938,10.038303437967116,8.70476610767873,7.703541438481197,40.68,1.288,86.08,Medium,0.07,24.98,0.0658
Textile,Medium,113480,143944,33741,2267,126225,3577,104.65,66.13,6.08,4.61,181.47,1.6,4.34,2.83,Electricity,Natural Gas,250001,15,Solar Rooftop,Low,64.6,4.590870462547044,8.72259591429995,5.328773168578993,3.0941949616648414,21.74,1.599,79.37,Low,0.25,45.37,0.1815
Electronics,Small,44155,40535,6769,862,59940,944,29.47,13.27,2.31,1.22,46.27,1.05,2.55,1.57,Electricity,Natural Gas,73147,35,HVAC Optimization,High,96.6,0.02731577030472255,0.4920279023418037,1.1694616063548102,0.0,1.69,1.048,91.26,Medium,0.1,4.63,0.0633
Electronics,Large,250256,359253,51456,5149,128059,10912,261.18,100.85,13.8,14.08,389.91,1.56,3.59,8.52,Electricity,Natural Gas,379544,30,Power Factor Correction,High,62.5,14.092509408765327,14.128674638764323,13.845984112974405,11.737860533041255,53.81,1.558,80.25,Medium,0.07,27.29,0.0719
Textile,Large,273062,318292,33080,4781,237471,8945,231.4,64.84,12.81,11.54,320.59,1.17,2.46,3.77,Electricity,Natural Gas,429676,30,Smart Metering,Low,98.0,12.284812431710574,8.521736422521178,12.753751103265667,9.419496166484116,42.98,1.174,88.54,Medium,0.05,16.03,0.0373
Glass,Large,318632,371226,55215,4606,279334,8141,269.88,108.22,12.34,10.5,400.94,1.26,2.97,2.91,Electricity,Natural Gas,512540,25,Energy Audit,Medium,70.9,14.620614301323295,15.276220727453909,12.23521624007061,8.470244614822928,50.6,1.258,86.73,Medium,0.1,40.09,0.0782
Metal Fabrication,Small,88156,127612,8452,1563,63541,1740,92.77,16.57,4.19,2.24,115.77,1.31,2.49,2.74,Electricity,Natural Gas,51754,10,VFD Installation,Low,64.8,3.8697341265023675,1.005854509217738,3.24360105913504,0.9309967141292446,9.05,1.313,85.54,Low,0.12,13.89,0.2684
Metal Fabrication,Medium,142581,245658,20670,2803,113421,5161,178.59,40.51,7.51,6.66,233.27,1.64,3.27,4.55,Electricity,Natural Gas,290029,10,VFD Installation,Medium,68.2,9.079155032171906,4.73343298455406,6.906443071491615,4.9653158086893034,25.68,1.636,78.57,Low,0.12,27.99,0.0965
Cement,Large,277896,567511,71840,7477,338653,15751,412.58,140.81,20.04,20.32,593.75,2.14,4.76,4.65,Electricity,Natural Gas,494368,20,Smart Metering,Medium,97.7,23.28274857350977,20.350647732934725,20.73036187113857,17.433369843008396,81.8,2.137,67.75,Medium,0.05,29.69,0.0601
Automotive Parts,Medium,93964,145452,31073,2686,115455,4307,105.74,60.9,7.2,5.56,179.4,1.91,5.0,3.73,Electricity,Natural Gas,180079,35,HVAC Optimization,Low,82.8,4.657035328396261,7.908258594917787,6.564430714916152,3.9612997444322744,23.09,1.909,72.67,Medium,0.1,17.94,0.0996
Steel,Small,54920,71175,17536,1681,74086,2582,51.74,34.37,4.51,3.33,93.95,1.71,4.64,3.49,Electricity,Natural Gas,136354,10,Energy Audit,Medium,65.8,1.3791428918295496,3.7774040857000495,3.5966460723742273,1.9258853596202996,10.68,1.711,76.95,Low,0.1,9.4,0.0689
Glass,Large,320260,392711,40529,6472,232383,12582,285.5,79.44,17.34,16.23,398.51,1.24,2.59,5.41,Electricity,Natural Gas,451745,20,IE4 Motor,Medium,63.6,15.568775039456112,10.795029895366218,17.75154457193292,13.700255567725447,57.82,1.244,87.03,Medium,0.15,59.78,0.1323
Plastics,Large,183794,465569,65754,6139,197605,9969,338.47,128.88,16.45,12.86,496.66,2.7,6.28,5.04,Electricity,Natural Gas,304778,20,Energy Audit,High,92.2,18.784144712880906,18.493086696562035,16.769638128861427,10.62431544359255,64.67,2.702,55.56,Medium,0.1,49.67,0.163
Plastics,Small,84562,56430,7223,1706,38504,3589,41.02,14.16,4.57,4.63,64.38,0.76,1.62,9.32,Electricity,Natural Gas,63664,20,Smart Metering,High,97.2,0.7284205414592693,0.6306053811659194,3.6628420123565757,3.112449799196787,8.13,0.761,97.45,Low,0.05,3.22,0.0506
Leather,Medium,85222,200992,24845,2694,110518,6126,146.12,48.7,7.22,7.9,209.94,2.46,5.43,5.54,Electricity,Natural Gas,232818,35,Compressed Air Optimization,High,80.7,7.108170450406702,6.008657199800698,6.586496028243601,6.097115735669953,25.8,2.463,60.72,Medium,0.12,25.19,0.1082
Ceramics,Medium,156702,180861,25632,2181,126000,4061,131.49,50.24,5.85,5.24,192.82,1.23,2.86,3.22,Electricity,Natural Gas,255881,35,VFD Installation,Medium,73.7,6.220104406944276,6.248442949676134,5.075022065313327,3.669222343921139,21.21,1.23,87.33,Medium,0.12,23.14,0.0904
Pharmaceutical,Large,321151,256775,36992,4926,200095,9603,186.68,72.5,13.2,12.39,284.77,0.89,2.03,4.8,Electricity,Natural Gas,588344,30,Solar Rooftop,Low,74.9,9.57023188053903,9.71443697060289,13.184024713150928,10.195326761591822,42.66,0.887,94.73,Medium,0.25,71.19,0.121
Food Processing,Small,60186,107004,12944,524,34638,1663,77.79,25.37,1.4,2.15,106.71,1.77,3.97,4.8,Electricity,Natural Gas,70757,15,LED Lighting,High,98.2,2.960422483914047,2.3760587942202296,0.16548984995586927,0.8488499452354874,6.35,1.773,75.61,Low,0.08,8.54,0.1207
Automotive Parts,Large,223094,283574,53174,6894,203953,8706,206.16,104.22,18.48,11.23,340.09,1.52,3.81,4.27,Electricity,Natural Gas,582140,15,Power Factor Correction,High,73.3,10.752701226174576,14.653400597907323,19.00926743159753,9.136546184738956,53.55,1.524,80.98,Medium,0.07,23.81,0.0409
Plastics,Medium,115596,161749,21889,2243,96912,4543,117.59,42.9,6.01,5.86,172.36,1.49,3.39,4.69,Electricity,Natural Gas,155977,10,Solar Rooftop,Medium,60.5,5.376350613087289,5.105568011958146,5.2515445719329215,4.235122307411465,19.97,1.491,81.7,Low,0.25,43.09,0.2763
Ceramics,Medium,139262,138553,24823,2161,131159,3610,100.73,48.65,5.79,4.66,159.83,1.15,2.85,2.75,Electricity,Natural Gas,202050,15,Compressed Air Optimization,High,81.8,4.352919752337016,6.0008719481813655,5.00882612533098,3.139832055494706,18.5,1.148,89.1,Low,0.12,19.18,0.0949
Leather,Small,24890,71360,9447,854,70835,1219,51.88,18.52,2.29,1.57,74.26,2.98,6.83,1.72,Electricity,Natural Gas,140853,15,Compressed Air Optimization,Low,89.8,1.387641131479908,1.309479322371699,1.1473962930273611,0.31945965680905447,4.16,2.984,49.47,Low,0.12,8.91,0.0633
Electronics,Large,176247,354535,32310,4295,197982,13126,257.75,63.33,11.51,16.93,349.52,1.98,3.97,6.63,Electricity,Natural Gas,377222,10,Smart Metering,Medium,99.8,13.884302537331553,8.28662182361734,11.319505736981466,14.339174881343556,47.83,1.983,71.08,Low,0.05,17.48,0.0463
Plastics,Small,60732,56288,16778,1629,47712,2138,40.92,32.88,4.37,2.76,80.93,1.33,3.82,4.48,Electricity,Natural Gas,51227,25,Compressed Air Optimization,High,93.4,0.722350370280442,3.5454035874439467,3.442188879082083,1.405622489959839,9.12,1.333,85.11,Medium,0.12,9.71,0.1895
Pharmaceutical,Medium,108660,219803,31430,3406,86486,6734,159.8,61.6,9.13,8.69,239.22,2.2,5.07,7.79,Electricity,Natural Gas,216332,30,Energy Audit,Medium,81.5,7.938569867670268,8.01725211758844,8.693733451015005,6.8181818181818175,31.47,2.202,66.35,Medium,0.1,23.92,0.1106
Plastics,Large,255600,253249,51551,5852,227766,10303,184.11,101.04,15.68,13.29,314.12,1.23,3.12,4.52,Electricity,Natural Gas,558294,20,Power Factor Correction,Medium,84.3,9.414228481243171,14.158258594917788,15.920123565754633,11.016794450529389,50.51,1.229,87.35,Medium,0.07,21.99,0.0394
Electronics,Medium,82857,146666,23502,2121,74441,3135,106.63,46.06,5.68,4.04,162.41,1.96,4.73,4.21,Electricity,Natural Gas,220675,20,Smart Metering,Low,89.5,4.711059851887823,5.5975959142999505,4.887466902030009,2.5739320920043816,17.77,1.96,71.57,Low,0.05,8.12,0.0368
Metal Fabrication,Small,25013,72136,11942,925,56740,3205,52.44,23.41,2.48,4.13,82.46,3.3,7.84,5.65,Electricity,Natural Gas,120199,20,IE4 Motor,High,96.0,1.42163409008134,2.0708769307424015,1.3570167696381288,2.656078860898138,7.51,3.297,42.72,Low,0.15,12.37,0.1029
Steel,Small,44819,98948,16178,1101,53173,4214,71.94,31.71,2.95,5.44,112.04,2.5,5.94,7.93,Electricity,Natural Gas,90396,15,IE4 Motor,Low,87.9,2.6053174699526527,3.3632286995515694,1.8755516328331865,3.851770719240599,11.7,2.5,59.92,Low,0.15,16.81,0.186
Textile,Large,267483,405590,41582,5884,136807,7429,294.86,81.5,15.77,9.58,401.71,1.5,3.18,5.43,Electricity,Natural Gas,347337,20,Energy Audit,Low,78.6,16.136943061794344,11.11578226208271,16.019417475728154,7.630522088353413,50.9,1.502,81.46,Medium,0.1,40.17,0.1157
Leather,Large,232345,397757,53924,4380,173777,14569,289.17,105.69,11.74,18.79,425.39,1.83,4.13,8.38,Electricity,Natural Gas,399487,25,HVAC Optimization,Medium,64.7,15.791550321719075,14.882286995515695,11.573256840247131,16.03687477181453,58.28,1.831,74.36,Medium,0.1,42.54,0.1065
Pharmaceutical,Medium,110646,141947,22399,2577,100911,4698,103.2,43.9,6.91,6.06,160.07,1.45,3.42,4.66,Electricity,Natural Gas,236144,35,Compressed Air Optimization,High,74.2,4.5028529804540485,5.261273044344793,6.244483671668138,4.417670682730924,20.43,1.447,82.65,Medium,0.12,19.21,0.0813
Electronics,Large,255726,280018,35693,4213,164766,10791,203.57,69.96,11.29,13.92,298.74,1.17,2.57,6.55,Electricity,Natural Gas,304497,35,IE4 Motor,High,80.0,10.595483792642952,9.318946188340806,11.076787290379523,11.591821832785687,42.58,1.168,88.67,Medium,0.15,44.81,0.1472
Automotive Parts,Medium,137597,194085,33298,2829,104157,4060,141.1,65.26,7.58,5.24,219.18,1.59,3.93,3.9,Electricity,Natural Gas,262949,30,Smart Metering,Low,65.0,6.803447857229574,8.587132536123567,6.983671668137688,3.669222343921139,26.04,1.593,79.49,Medium,0.05,10.96,0.0417
Food Processing,Medium,105415,156139,24482,2017,90363,5188,113.51,47.98,5.41,6.69,173.59,1.65,3.9,5.74,Electricity,Natural Gas,243870,25,VFD Installation,Medium,70.8,5.128687628991138,5.896549576482311,4.5895851721094445,4.992698064987222,20.61,1.647,78.33,Medium,0.12,20.83,0.0854
Leather,Small,23166,107911,13295,766,61889,2525,78.45,26.06,2.05,3.26,109.82,4.74,10.56,4.08,Electricity,Natural Gas,72132,20,IE4 Motor,High,78.3,3.0004856136943063,2.483495266567015,0.8826125330979697,1.8619934282584885,8.23,4.741,11.55,Low,0.15,16.47,0.2283
Leather,Medium,112896,149969,21637,2404,88082,6015,109.03,42.41,6.44,7.76,165.64,1.47,3.35,6.83,Electricity,Natural Gas,297588,35,Solar Rooftop,Medium,62.3,4.856743960179677,5.029272546088689,5.725948808473081,5.969331872946331,21.58,1.467,82.21,Medium,0.25,41.41,0.1392
Electronics,Small,69048,45948,8065,1247,59481,1372,33.4,15.81,3.34,1.77,54.32,0.79,1.92,2.31,Electricity,Natural Gas,132216,30,LED Lighting,Low,66.3,0.2658734976326332,0.8875186846038866,2.3058252427184462,0.5020080321285141,3.96,0.787,96.89,Medium,0.08,4.35,0.0329
Glass,Medium,141316,155412,21076,2506,108609,4042,112.98,41.31,6.72,5.21,166.22,1.18,2.68,3.72,Electricity,Natural Gas,231925,15,LED Lighting,High,71.9,5.096515721743353,4.857997010463379,6.03486319505737,3.64184008762322,19.63,1.176,88.5,Low,0.08,13.3,0.0573
Leather,Small,39002,98449,7047,1248,37159,1444,71.57,13.81,3.34,1.86,90.58,2.32,4.49,3.89,Electricity,Natural Gas,140376,10,IE4 Motor,High,73.1,2.5828578365909913,0.5761086198305931,2.3058252427184462,0.584154801022271,6.05,2.322,63.76,Low,0.15,13.59,0.0968
Metal Fabrication,Large,284982,289131,66073,5069,292261,17341,210.2,129.5,13.58,22.37,375.65,1.32,3.42,5.93,Electricity,Natural Gas,348361,20,Power Factor Correction,Low,99.1,10.997936141799197,18.589623816641755,13.603265666372463,19.30449069003286,62.5,1.318,85.43,Medium,0.07,26.3,0.0755
Pharmaceutical,Large,184407,382689,45898,4994,207276,11539,278.21,89.96,13.38,14.89,396.44,2.15,4.7,5.57,Electricity,Natural Gas,511517,25,LED Lighting,High,92.9,15.126259560519603,12.433046836073741,13.382612533097971,12.477181453085068,53.42,2.15,67.47,Medium,0.08,31.72,0.062
Pharmaceutical,Small,50075,45189,13617,1131,52638,2325,32.85,26.69,3.03,3.0,65.57,1.31,3.73,4.42,Electricity,Natural Gas,147539,15,HVAC Optimization,High,73.1,0.23248755614908348,2.5815894369706034,1.963812886142983,1.624680540343191,6.4,1.309,85.62,Low,0.1,6.56,0.0445
Steel,Medium,169831,251186,22293,4178,116110,4427,182.61,43.69,11.2,5.71,243.21,1.43,2.91,3.81,Electricity,Natural Gas,216365,30,Compressed Air Optimization,Low,69.8,9.323175913560762,5.228574987543597,10.977493380406,4.09821102592187,29.63,1.432,82.97,Medium,0.12,29.19,0.1349
Glass,Small,26412,83281,10502,1098,73130,1539,60.55,20.58,2.94,1.99,86.06,3.26,7.34,2.1,Electricity,Natural Gas,135371,25,IE4 Motor,Low,68.1,1.9139249726842296,1.6302316890881912,1.8645189761694616,0.7028112449799196,6.11,3.258,43.56,Medium,0.15,12.91,0.0954
Textile,Small,38974,86400,6709,1086,50274,3024,62.81,13.15,2.91,3.9,82.77,2.12,4.08,6.02,Electricity,Natural Gas,62932,20,Power Factor Correction,High,78.4,2.0511108413257255,0.47334329845540624,1.8314210061782878,2.446148229280759,6.8,2.124,68.03,Low,0.07,5.79,0.092
Plastics,Medium,179796,188294,25589,3277,131677,6673,136.89,50.15,8.78,8.61,204.43,1.14,2.56,5.07,Electricity,Natural Gas,285508,30,Energy Audit,Medium,73.1,6.547893650600946,6.234429496761336,8.307590467784642,6.745162468054033,27.84,1.137,89.34,Medium,0.1,20.44,0.0716
Automotive Parts,Medium,113943,216606,32475,3336,115379,6332,157.47,63.65,8.94,8.17,238.23,2.09,4.9,5.49,Electricity,Natural Gas,271588,30,Power Factor Correction,High,95.0,7.7971348792035915,8.336447433981066,8.484112974404235,6.3435560423512225,30.96,2.091,68.75,Medium,0.07,16.68,0.0614
Ceramics,Small,26780,125013,8738,1144,47825,1246,90.88,17.13,3.07,1.61,112.69,4.21,8.14,2.61,Electricity,Natural Gas,116882,30,Solar Rooftop,Low,81.1,3.755007891222532,1.0930493273542599,2.0079435127978815,0.35596933187294644,7.21,4.208,23.05,Medium,0.25,28.17,0.241
Metal Fabrication,Small,38952,135190,10212,1550,79702,1353,98.28,20.02,4.15,1.75,124.2,3.19,6.29,1.7,Electricity,Natural Gas,55970,30,HVAC Optimization,Low,61.0,4.2042005584557485,1.543036870951669,3.1994704324801413,0.48375319459656807,9.43,3.189,45.05,Medium,0.1,12.42,0.2219
Cement,Small,66688,128241,20044,2045,89394,2618,93.23,39.29,5.48,3.38,141.38,2.12,5.08,2.93,Electricity,Natural Gas,144994,25,HVAC Optimization,Low,64.0,3.897656913924973,4.543472845042352,4.666813768755517,1.9715224534501645,15.08,2.12,68.12,Medium,0.1,14.14,0.0975
Paper & Pulp,Small,38716,97443,9151,1399,55294,2387,70.84,17.94,3.75,3.08,95.61,2.47,5.06,4.32,Electricity,Natural Gas,61185,30,HVAC Optimization,Low,72.6,2.538545586985553,1.2191704035874442,2.758164165931156,1.6976998904709748,8.21,2.47,60.57,Medium,0.1,9.56,0.1562
Automotive Parts,Medium,160794,225143,19354,2975,128210,6764,163.68,37.93,7.97,8.73,218.31,1.36,2.7,5.28,Electricity,Natural Gas,195929,30,IE4 Motor,Low,89.4,8.174092509408764,4.331714000996512,7.413945278022947,6.854691493245711,26.77,1.358,84.57,Medium,0.15,32.75,0.1672
Cement,Small,87714,163422,20167,2113,82552,1882,118.81,39.53,5.66,2.43,166.43,1.9,4.28,2.28,Electricity,Natural Gas,72704,20,IE4 Motor,High,71.1,5.450406701468982,4.580842052815147,4.865401588702559,1.1044176706827311,16.0,1.897,72.93,Low,0.15,24.96,0.3433
Food Processing,Medium,106710,151379,17482,2165,91872,4033,110.05,34.26,5.8,5.2,155.31,1.46,3.16,4.39,Electricity,Natural Gas,269297,30,HVAC Optimization,High,78.3,4.918659706203714,3.7602765321375187,5.019858781994705,3.632712668857248,17.33,1.455,82.47,Medium,0.1,15.53,0.0577
Cement,Small,95308,121543,12067,1303,98557,3184,88.36,23.65,3.49,4.11,119.61,1.25,2.61,3.23,Electricity,Natural Gas,142469,35,HVAC Optimization,Low,69.2,3.602039577516086,2.1082461385151965,2.471315092674316,2.6378240233661923,10.82,1.255,86.79,Medium,0.1,11.96,0.0839
Electronics,Medium,124476,126652,16943,1658,87997,4453,92.08,33.21,4.44,5.74,135.47,1.09,2.45,5.06,Electricity,Natural Gas,243687,10,Compressed Air Optimization,Low,79.2,3.827849945368459,3.59678624813154,3.5194174757281558,4.125593282219789,15.07,1.088,90.39,Low,0.12,16.26,0.0667
Paper & Pulp,Medium,183288,178895,24135,2665,111460,4071,130.06,47.3,7.14,5.25,189.75,1.04,2.37,3.65,Electricity,Natural Gas,219472,25,HVAC Optimization,Medium,91.9,6.133300959087046,5.7906701544593915,6.498234774933803,3.6783497626871124,22.1,1.035,91.54,Medium,0.1,18.98,0.0865
Plastics,Small,33090,52370,11434,1216,39219,1819,38.07,22.41,3.26,2.35,66.09,2.0,5.22,4.64,Electricity,Natural Gas,87827,10,LED Lighting,High,95.5,0.5493504916838655,1.9151718983557549,2.2175639894086494,1.0313983205549473,5.71,1.997,70.77,Low,0.08,5.29,0.0602
Electronics,Medium,130291,163725,18942,2278,105579,3961,119.03,37.13,6.11,5.11,167.38,1.28,2.8,3.75,Electricity,Natural Gas,224986,30,Power Factor Correction,Medium,96.8,5.463761078062401,4.207149975087195,5.361871138570168,3.5505658999634906,18.58,1.285,86.14,Medium,0.07,11.72,0.0521
Ceramics,Medium,115495,205883,27475,1783,117663,5189,149.68,53.85,4.78,6.69,215.0,1.86,4.24,4.41,Electricity,Natural Gas,184933,35,Solar Rooftop,Medium,76.9,7.324268544372951,6.810538116591928,3.894527802294793,4.992698064987222,23.02,1.862,73.69,Medium,0.25,53.75,0.2906
Metal Fabrication,Medium,166660,229078,36149,2009,129628,4439,166.54,70.85,5.38,5.73,248.5,1.49,3.6,3.42,Electricity,Natural Gas,196322,30,Solar Rooftop,High,62.2,8.347699405123223,9.45752366716492,4.55648720211827,4.116465863453816,26.48,1.491,81.7,Medium,0.25,62.12,0.3164
Metal Fabrication,Small,44106,101324,12325,645,61472,3205,73.66,24.16,1.73,4.13,103.68,2.35,5.16,5.21,Electricity,Natural Gas,86601,10,Energy Audit,Medium,72.7,2.7097244142284813,2.1876557050323866,0.5295675198587819,2.656078860898138,8.08,2.351,63.13,Low,0.1,10.37,0.1197
Leather,Small,59325,45853,12953,1203,59872,2822,33.34,25.39,3.22,3.64,65.59,1.11,3.06,4.71,Electricity,Natural Gas,99666,20,Compressed Air Optimization,Low,85.3,0.2622313949253371,2.3791728948679625,2.173433362753751,2.208835341365462,7.02,1.106,90.01,Low,0.12,7.87,0.079
Chemical,Medium,102686,181868,33290,2105,116304,6188,132.22,65.25,5.64,7.98,211.09,2.06,5.12,5.32,Electricity,Natural Gas,165106,15,LED Lighting,Medium,80.1,6.264416656549715,8.585575485799701,4.84333627537511,6.170135085797737,25.86,2.056,69.5,Low,0.08,16.89,0.1023
Pharmaceutical,Large,284607,361133,61722,3401,161507,15038,262.54,120.98,9.11,19.4,412.03,1.45,3.5,9.31,Electricity,Natural Gas,445518,20,VFD Installation,Medium,74.6,14.175063736797377,17.263016940707523,8.671668137687554,16.59364731653888,56.7,1.448,82.62,Medium,0.12,49.44,0.111
Food Processing,Large,216587,341207,41225,3045,146089,7909,248.06,80.8,8.16,10.2,347.22,1.6,3.55,5.41,Electricity,Natural Gas,320864,20,IE4 Motor,Low,72.7,13.296102950103192,11.006788739412057,7.623565754633716,8.196422051843737,40.12,1.603,79.28,Low,0.15,52.08,0.1623
Metal Fabrication,Medium,113891,262026,37627,2060,124678,6291,190.49,73.75,5.52,8.12,277.88,2.44,5.69,5.05,Electricity,Natural Gas,209652,35,Energy Audit,High,75.1,9.80150540245235,9.9090682610862,4.710944395410414,6.297918948521357,30.72,2.44,61.21,Medium,0.1,27.79,0.1326
Pharmaceutical,Medium,124875,188701,31722,2381,98971,4892,137.19,62.18,6.38,6.31,212.06,1.7,4.15,4.94,Electricity,Natural Gas,191764,30,Energy Audit,High,86.6,6.566104164137429,8.107561036372696,5.659752868490733,4.645856151880248,24.98,1.698,77.23,Medium,0.1,21.21,0.1106
Cement,Small,80629,123197,15734,824,94899,3624,89.56,30.84,2.21,4.67,127.28,1.58,3.53,3.82,Electricity,Natural Gas,95248,25,Smart Metering,Medium,73.4,3.674881631662013,3.2277653213751867,1.0591350397175638,3.1489594742606792,11.11,1.579,79.8,Medium,0.05,6.36,0.0668
Ceramics,Medium,145113,197459,21525,2045,95870,3372,143.55,42.19,5.48,4.35,195.57,1.35,2.91,3.52,Electricity,Natural Gas,287660,10,Smart Metering,Medium,80.3,6.952167051110841,4.995017438963627,4.666813768755517,2.8568820737495435,19.47,1.348,84.78,Low,0.05,9.78,0.034
Paper & Pulp,Medium,111177,222747,38237,2240,134379,4966,161.94,74.94,6.0,6.41,249.29,2.24,5.54,3.7,Electricity,Natural Gas,197479,10,LED Lighting,High,86.1,8.06847153089717,10.094357249626308,5.240511915269197,4.737130339539979,28.14,2.242,65.49,Low,0.08,19.94,0.101
Glass,Medium,128774,234518,22421,2866,126212,5349,170.49,43.95,7.68,6.9,229.02,1.78,3.67,4.24,Electricity,Natural Gas,197428,15,Solar Rooftop,Medium,85.0,8.5874711666869,5.269058295964126,7.093998234774933,5.184373859072655,26.13,1.778,75.5,Low,0.25,57.26,0.29
Metal Fabrication,Small,38622,135428,7314,1638,39900,2086,98.46,14.34,4.39,2.69,119.88,3.1,5.61,5.23,Electricity,Natural Gas,127029,25,LED Lighting,High,89.9,4.215126866577637,0.6586322869955158,3.464254192409532,1.3417305585980284,9.68,3.104,46.88,Medium,0.08,9.59,0.0755
Glass,Medium,148822,223459,27880,2888,125414,7187,162.45,54.64,7.74,9.27,234.1,1.57,3.47,5.73,Electricity,Natural Gas,170588,15,IE4 Motor,Medium,73.1,8.09942940390919,6.933545092177379,7.160194174757281,7.34757210660825,29.54,1.573,79.93,Low,0.15,35.11,0.2058
Automotive Parts,Medium,150555,215087,29568,2710,125873,6237,156.37,57.95,7.26,8.05,229.63,1.53,3.48,4.95,Electricity,Natural Gas,247205,25,Power Factor Correction,Medium,95.4,7.730362996236494,7.44892874937718,6.6306266548985,6.234027017159548,28.04,1.525,80.96,Medium,0.07,16.07,0.065
